Tweet ID,Country,Date,Tweet,Definitely English,Ambiguous,Definitely Not English,Code-Switched,Ambiguous due to Named Entities,Automatically Generated Tweets,Language
434215992731136000,TR,2014-02-14,BugÃ¼n bulusmami lazimdiii,0,0,1,0,0,0,tr
285903159434563008,TR,2013-01-01,Volkan konak adami tribe sokar yemin ederim :D,0,0,1,0,0,0,tr
285948076496142016,NL,2013-01-01,Bed,1,0,0,0,0,0,de
285965965118824000,US,2013-01-01,I felt my first flash of violence at some fool who bumped into me.... I pity the fool.,1,0,0,0,0,0,en
286057979831275008,US,2013-01-01,Ladies drink and get in free till 10:30,1,0,0,0,0,0,af
286101218818924000,NL,2013-01-01,@Melanynijholtxo ahhahahahah dm!,0,1,0,0,0,0,so
286176649219828992,US,2013-01-01,Fuck,0,1,0,0,0,0,de
286216100784520992,GB,2013-01-01,Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS â¤ðŸ’‹,1,0,0,0,0,0,en
286237546122456992,RS,2013-01-01,@StizZsti fino,0,0,1,0,0,0,it
286282349925256992,US,2013-01-02,Shopping! (@ Kohl's) http://t.co/I8ZkQHT9,1,0,0,0,0,0,tl
286306802637888992,MX,2013-01-02,@Mizzh_ celos es tu segundo nombre,0,0,1,0,0,0,pt
286327245667200992,CA,2013-01-02,@emilyroxxxx @melanienasson hahahahahah awww,0,1,0,0,0,0,so
286350423126851008,MY,2013-01-02,@BeGinkiTh otak ang semangat nak blajaq !,0,0,1,0,0,0,id
286469201806376000,BR,2013-01-02,Quiero jugar tenis â™¥,0,0,1,0,0,0,lt
286490978771144000,US,2013-01-02,Yessss ^_^,1,0,0,0,0,0,fi
286493100866686016,BR,2013-01-02,#fome (@ Picanha do Neto) http://t.co/8Bj6zaWx,0,0,1,0,0,0,pt
286525170670243008,US,2013-01-02,@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.,1,0,0,0,0,0,en
286675485902139008,BR,2013-01-03,"@JuanChrystma chama e puxa, veem e vai...",0,0,1,0,0,0,pt
286826850204934016,ID,2013-01-03,Tirta gangga w/@dayu_renita @tamancrizz @mika_mahayekti http://t.co/xemAXjUz,0,0,1,0,0,0,id
286916662836489984,US,2013-01-03,"~ i'm falling apart,with a broken heart,barely breathing.",1,0,0,0,0,0,en
286927073078017984,US,2013-01-03,"@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah",1,0,0,0,0,0,en
286927433498759008,US,2013-01-03,"The way you treat me. The way you accept me, and love me. How much you care about me. That's what makes you perfect.",1,0,0,0,0,0,en
286941320851889984,US,2013-01-03,I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit,1,0,0,0,0,0,en
286949739071672000,IE,2013-01-03,"Oh there's that fake door slam noise , ugh #CBB",1,0,0,0,0,0,en
286958983368036000,US,2013-01-03,@Taybaybay_19 cool... Wanna see when u get it!,1,0,0,0,0,0,so
287013601330479008,US,2013-01-04,@del_webb13 hahaa I never get told to be a post... ðŸ˜• But I'll most likely guard yaaaa!,1,0,0,0,0,0,en
287043679011631008,BR,2013-01-04,vou comeÃ§ar pela melhor metade (8),0,0,1,0,0,0,pt
287056970421268000,US,2013-01-04,@Opucar91 @tim_allen111 I'm in Tennessee.. Only bears and mountain lions round these parts,1,0,0,0,0,0,en
287083436844412000,US,2013-01-04,Can't do right without doing wrong first,1,0,0,0,0,0,en
287085647129353984,MX,2013-01-04,Tweet 4484 Dedicado a @ZayraIzquierdo_ :*,0,0,1,0,0,0,es
287272742481432000,US,2013-01-04,@FlaccidDaddy and goodluck on that young occupation,1,0,0,0,0,0,en
287304673470336992,GB,2013-01-04,@kiapegg ahh okay how old ate you I am 13,1,0,0,0,0,0,tl
287311564976036992,MX,2013-01-04,"\@erikitalaran: @supermery1969 @pagemasteragain @sococampos Jajajaja bolitaaaaaa!!!!\"" siiii!!!""",0,0,1,0,0,0,id
287388987629395008,ID,2013-01-05,"Mampir ke bandung sini ajak si cantik \@revavirginari: Hay mommy. Rindu deh kecup dongs dongs RT @Da_SickGirl: Aseeek!""",0,0,1,0,0,0,id
287459359477358016,MX,2013-01-05,@Paty_VanGogh rangoo???? Regalame el reloj mejor xDDDDDDDDDD,0,0,1,0,0,0,es
287510915979558016,ID,2013-01-05,"yo otw ki \@Vhitri_a: Rpp kw kan cah selo \""@tebeeng: lg jrug tkan ngomah iki \""@Vhitri_a: Kw wae le rene pie \""@tebeeng: hoo \""@Vhitri_a: Kad""",0,0,1,0,0,0,id
287551697151204992,CA,2013-01-05,"Rain bitches but get my dick on with  at least 3 chicks at York, these hoes are easy game don't change baby haha",1,0,0,0,0,0,en
